Product Name,Product image,Price Range,Short Description,Tags,Categories
BORDER Brown Leather Premium 2026 Diary,https://drive.google.com/file/d/168bCQfGOxxEle6SQWacC5DKEjsyEAahK/view?usp=sharing,164 - 188/-,"Product Highlights
BORDER Brown Leather Premium 2026 Diary with beautifully designed soft PU leather cover, sponge padded, fine premium natural shade paper, wide space for your advertisement. A perfect gift for this diwali & new year.

Size : B5 Executive (7.4 x 9.75 inches approx)
Page Format : Yearly dated with One Date a Page Format
Cover Binding : Leather Bound with foam padding 


” COD facility not available for this product “

*This product has minimum order quantity restriction.

** If your order quantity is little less than MOQ then please write us.","best leather diary, brown diary, corporate diary, executive economy diary, leather diary","NEW YEAR DIARY , CUSTOMISED DIARY & NOTE BOOKS"
Grey Alder Textured Leather Diary 2026,https://drive.google.com/file/d/1clQSKUmdfErmlZaCrvYOI8DqDGgD0Zwh/view?usp=sharing,158 - 173/-,"Product Highlights
Grey Alder Textured Leather Diary 2026 with Magnetic Flap, beautifully designed soft PU leather cover, sponge padded, fine premium natural shade paper, wide space for your advertisement. A perfect gift for this diwali & new year.

Size : B5 Executive (7.4 x 9.75 inches approx)
Page Format : Yearly dated with One Date a Page Format
Cover Binding : Leather Bound with foam padding 


” COD facility not available for this product “

*This product has minimum order quantity restriction.

** If your order quantity is little less than MOQ then please write us.","best leather diary, brown diary, corporate diary, executive economy diary, leather diary","NEW YEAR DIARY , CUSTOMISED DIARY & NOTE BOOKS"
Blue Ocean Leather Diary with Magnet Flap,https://drive.google.com/file/d/1yvLcOS8geNaSqOLHDTyC-hSxib-MMoTH/view?usp=sharing,155 - 185/- ,"Product Highlights
Blue Ocean Leather Diary with Magnet Flap with Magnetic Flap, beautifully designed soft PU leather cover, sponge padded, fine premium natural shade paper, wide space for your advertisement. A perfect gift for this diwali & new year.

Size : B5 Executive (7.4 x 9.75 inches approx)
Page Format : Yearly dated with One Date a Page Format
Cover Binding : Leather Bound with foam padding 


” COD facility not available for this product “

*This product has minimum order quantity restriction.

** If your order quantity is little less than MOQ then please write us.","best leather diary, brown diary, corporate diary, executive economy diary, leather diary","NEW YEAR DIARY , CUSTOMISED DIARY & NOTE BOOKS"
Brown Premium Leather Diary 2026,https://drive.google.com/file/d/1T2WdXTYQ7WMjxrcb7EMd5vtkquQTvsEL/view?usp=sharing,130 - 160/- ,"Product Highlights
Management Premium PU Leather Diary 2026 with Magnetic Flap, utility pockets to carry docuents, beautifully designed soft PU leather cover, sponge padded, fine premium natural shade paper, wide space for your advertisement. A perfect gift for this diwali & new year.

Size : B5 Executive (7.4 x 9.75 inches approx)
Page Format : Yearly dated with One Date a Page Format
Cover Binding : Leather Bound with foam padding 


” COD facility not available for this product “

*This product has minimum order quantity restriction.

** If your order quantity is little less than MOQ then please write us.","best leather diary, brown diary, corporate diary, executive economy diary, leather diary","NEW YEAR DIARY , CUSTOMISED DIARY & NOTE BOOKS"
Curve Executive Leather Diary 2026,https://drive.google.com/file/d/1iiO7OaLSKfPOEjmJdpvAEYVSTUtJF9ea/view?usp=sharing,125 - 145/- ,"Product Highlights
Curve Executive Leather Diary 2026 with beautifully designed soft PU leather cover, sponge padded, fine premium natural shade paper, wide space for your advertisement. A perfect gift for this diwali & new year.

Size : B5 Executive (7.4 x 9.75 inches approx)
Page Format : Yearly dated with One Date a Page Format
Cover Binding : Leather Bound with foam padding 


” COD facility not available for this product “

*This product has minimum order quantity restriction.

** If your order quantity is little less than MOQ then please write us.","best leather diary, brown diary, corporate diary, executive economy diary, leather diary","NEW YEAR DIARY , CUSTOMISED DIARY & NOTE BOOKS"
Grateful Woody PU Leather Diary 2026,https://drive.google.com/file/d/1p72hOspZC6aka4d5j-PJoGh6GwY8I33u/view?usp=sharing,162 - 183/-,"Product Highlights
Grateful Woody PU Leather Diary 2026 with beautifully designed soft PU leather cover, sponge padded, fine premium natural shade paper, wide space for your advertisement. A perfect gift for this diwali & new year.

Size : B5 Executive (7.4 x 9.75 inches approx)
Page Format : Yearly dated with One Date a Page Format
Cover Binding : Leather Bound with foam padding 


” COD facility not available for this product “

*This product has minimum order quantity restriction.

** If your order quantity is little less than MOQ then please write us.","best leather diary, brown diary, corporate diary, executive economy diary, leather diary","NEW YEAR DIARY , CUSTOMISED DIARY & NOTE BOOKS"
Go Green Leather Diary 2026 with Planner,https://drive.google.com/file/d/1T9jkiYLx_lEFaEU5CYz0qBRquNJsLCrD/view?usp=sharing,138 - 143/-,"Product Highlights
Executive Go Green theme leather planner diary beautifully designed silky soft PU leather cover, sponge padded leather, fine premium paper, wide space for your advertisement. A perfect gift for this diwali & new year.

 

Size : B5 Executive (19 x 24.5 cms. OR 7.4 x 9.75 inches approx)
Paper Quality : Fine White Premium Paper
Page Format : Yearly dated with One Date a Page Format
Cover Binding : Leather Bound with foam padding
Monthly Planner : Yes
Month Cutting : Yes
Cover Colours : One Colour cover

 

**COD not available on this product

*This product has minimum order quantity restriction.

** If your order quantity is little less than MOQ then please write us.","go green diary, go green leather diary, green diary, green leather diary","NEW YEAR DIARY , CUSTOMISED DIARY & NOTE BOOKS"
A5 Wooden Gold Planner Diary 2026,https://drive.google.com/file/d/109nJXVgvjbW4PzsuFNV3UUfOMH2EJQzT/view?usp=sharing,136 - 148/-,"A5 Wooden Gold Planner Diary 2026 beautifully designed  cover, fine fine quality white paper, monthly planner index cutting, wide space for your advertisement. A perfect gift for this Diwali & new year.

 

Size : A5 Size (15.6 x 21.5 cms. OR 6 x 8.5 inches approx)
Paper Quality : Fine Quality White Paper
Page Format : Yearly dated with One Date a Page Format
Cover Binding : Wooden Cover
Monthly Planner : Yes
Month Cutting : Yes
Cover Colours : Two mix Colour cover

*This product has minimum order quantity restriction.

** If your order quantity is little less than MOQ then please write us.","a5 diary, a5 planner diary, corporate diary, pure wood diary, wood cover dairy, wooden diary 2026","NEW YEAR DIARY , CUSTOMISED DIARY & NOTE BOOKS"
A5 Mobile Pocket Grey Leather Diary 2026,https://drive.google.com/file/d/1jRlChNbOtB7XZkAT1P3n9rD0ldB5vDwU/view?usp=sharing,133 - 156/-,"A5 Mobile Pocket Grey Leather Diary 2026 beautifully designed soft leather cover, Moblie carrying pocket on front, pen holder loop, sponge padded, fine premium white paper, monthly planner index cutting, wide space for your advertisement. A perfect gift for this diwali & new year.

 

Size : A5 Size (15.6 x 21.5 cms. OR 6 x 8.5 inches approx)
Paper Quality : Fine White Premium Paper
Page Format : Yearly dated with One Date a Page Format
Cover Binding : Leather Bound with foam padding
Monthly Planner : Yes
Month Cutting : Yes
Cover Colours : One Colour cover

*This product has minimum order quantity restriction.

** If your order quantity is little less than MOQ then please write us.","2026 a5 diary, a5 diary, a5 leather diary, a5 planner diary, best leather diary, corporate diary, mobile pocket diary","NEW YEAR DIARY , CUSTOMISED DIARY & NOTE BOOKS"
Regular Leather Engineering Diary 2026,https://drive.google.com/file/d/1f0zo8_pPOI2YT6OiRn6IR7rl9MlCwVVs/view?usp=sharing,140 - 161/-,"This Regular Leather Engineering Diary is a best fit Unique Promotional Gift for Engineers, useful engineering information pages, monthly index cutting, premium leather cover with wide space for customization printing. 

 

Size : 19 x 25 cms. OR 7.5 x 10 inches (approx)
Paper : Fine Premium Quality Paper
Binding : Imported PU Leather Bound with Foam Padded Cover
Format : One Date a Page Format
Monthly Planner : Yes
Month Cutting : Yes
Colours : One Colour cover

 

” COD facility not available for this product “

*This product has minimum order quantity restriction.

** If your order quantity is little less than MOQ then please write us.","2026 engineering diary, engineering diary, engineers diary, leather engineering diary, pu leather engineering diary","NEW YEAR DIARY , CUSTOMISED DIARY & NOTE BOOKS"
Premium Leather Engineering Diary with Planner,https://drive.google.com/file/d/1nn397dWeBk8vhfZl_HpaesKUXkCAcLHZ/view?usp=sharing,,"Premium Leather Engineering Diary with Planner is a best fit Unique Promotional Gift for Engineers, useful engineering information pages, monthly index cutting, premium leather cover with wide space for customization printing. 

 

Size : 19 x 25 cms. OR 7.5 x 10 inches (approx)
Paper : Fine Premium Quality Paper
Binding : Imported PU Leather Bound with Foam Padded Cover
Format : One Date a Page Format
Monthly Planner : Yes
Month Cutting : Yes
Colours : One Colour cover

 

” COD facility not available for this product “

*This product has minimum order quantity restriction.

** If your order quantity is little less than MOQ then please write us.","2027 engineering diary, engineering diary, engineers diary, leather engineering diary, pu leather engineering diary","NEW YEAR DIARY , CUSTOMISED DIARY & NOTE BOOKS"
